model,sentence,predicted_label,original_label,is_correct,intent_count
Llama-1B,Please list me the flights and their cost of all airlines flying from Denver to Baltimore while letting me know the cheapest way to fly from Denver to Oakland.,"(atis_flight, atis_airfare)","(atis_flight, atis_flight#atis_airfare)",0,2
Llama-1B,"I would like the time of your earliest morning flight from Philadelphia to Washington on American Airlines, and I'd also like a flight tomorrow from Columbus to Houston with a stopover in Nashville, while you please show me all airlines with Sunday flights from Philadelphia to Denver.","(atis_flight_time, atis_flight, atis_airline)","(atis_flight_time, atis_flight, atis_airline)",1,3
Llama-1B,"Show me the flights to and from Love Field, and please show me airlines with flights from Denver to Boston with a stop in Philadelphia.","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"Is there a plane from Boston to Washington, and which United flights from Boston to San Francisco make connections?","(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B,"Kindly give me the type of aircraft used to fly from Atlanta to Denver, what is the cheapest round trip flight from Denver to Atlanta, and which airlines have flights from Denver to Pittsburgh.","(atis_aircraft, atis_flight, atis_airline)","(atis_aircraft, atis_flight, atis_airline)",1,3
Llama-1B,I would like to know the time of your earliest flight from Washington to Philadelphia and if there is a late afternoon flight leaving Washington for Denver.,"(atis_flight_time, atis_flight)","(atis_flight_time, atis_flight)",1,2
Llama-1B,Show me a list of flights from Boston to DC arriving before 9 AM on July twenty-second while also telling me what airlines have nonstop early afternoon flights from Boston to Denver.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, list the round trip flights from st paul to san jose,(atis_flight),(atis_flight),1,1
Llama-1B, show me all prices of first class from baltimore to dallas,(atis_airfare),(atis_airfare),1,1
Llama-1B,"Provide a listing of all flights from Boston to Baltimore before 10 AM on Thursday, and include fares between Atlanta and Boston.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"List the fares of US Air flights from Boston to Philadelphia while showing me all flights, both direct and connecting, to either San Francisco or Oakland from Boston that arrive before 2 PM.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Please find the earliest possible flight from Boston to Denver and check which airlines have flights from Denver to Pittsburgh.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Show me the cheapest flight on June fourteenth arriving in Baltimore starting from Dallas, and also show me the price of a flight to Washington from Atlanta on Thursday morning.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What is the earliest flight leaving Washington to San Francisco, and show me all flights and fares from Denver to San Francisco.","(atis_flight, atis_airfare)","(atis_flight, atis_flight#atis_airfare)",0,2
Llama-1B, morning flights from pittsburgh to atlanta on wednesday,(atis_flight),(atis_flight),1,1
Llama-1B, how about arrivals for american in atlanta,(atis_flight),(atis_flight),1,1
Llama-1B, im traveling from boston to atlanta and id like to go sometime after 5 pm but i want to know what kind of airplane its on,(atis_aircraft),(atis_aircraft),1,1
Llama-1B,Find the cheapest one-way fare from Boston to Oakland and check if all the flights to Oakland land at the same place.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"What time are flights from Denver to San Francisco on Continental Airlines, and show fares and flights from Denver to Oakland.","(atis_flight_time, atis_airfare)","(atis_flight_time, atis_airfare)",1,2
Llama-1B,"Please list all first class flights on United from Denver to Baltimore while informing me about the type of aircraft for a first class American Airlines flight from Philadelphia to Dallas, and tell me which airline serves Denver, Pittsburgh, and Atlanta.","(atis_aircraft, atis_flight, atis_airline)","(atis_aircraft, atis_flight, atis_airline)",1,3
Llama-1B, what flights from st paul to kansas city on friday with a meal,(atis_flight),(atis_flight),1,1
Llama-1B,I'd like information on a morning flight from Atlanta to Denver and show me the price of flight EA 212 from Atlanta to Washington.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What flights are available from Denver to Philadelphia with a stopover in Pittsburgh, and what is the lowest fare from Denver to Pittsburgh?","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"What is the airfare for flights from Denver to Pittsburgh on Delta Airline, and what flights does Delta have from Denver to Dallas after 5?","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"How many flights go from Dallas to Baltimore on July nineteenth, what airlines go from Atlanta to Baltimore, and list all nonstop flights from Baltimore to Atlanta after noon on Thursday.","(atis_quantity, atis_airline, atis_flight)","(atis_quantity, atis_airline, atis_flight)",1,3
Llama-1B,"Which airlines provide direct flights between Washington and Denver, find me a flight from Boston to San Francisco with a layover in Denver on United, and tell me the round trip fares for flights from Denver to Philadelphia arriving after 1700 on Continental.","(atis_airline, atis_flight, atis_airfare)","(atis_airline, atis_flight, atis_airfare)",1,3
Llama-1B,Which airlines fly between Boston and Philadelphia and are there any nonstop flights from Philadelphia to Denver that arrive before 5 PM?,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, what stops does dl 838 make from san francisco to atlanta,(atis_flight),(atis_flight),1,1
Llama-1B, show me the cheapest flights from atlanta to denver,(atis_flight),(atis_flight),1,1
Llama-1B,Provide information on a first class ticket from Baltimore to San Francisco and a first class round trip from Pittsburgh to San Francisco.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Show prices for all flights from Baltimore to Dallas on July twenty-ninth while listing all afternoon flights leaving Baltimore and arriving in Atlanta on Thursday.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, list all round trip flights between indianapolis and orlando on the twenty seventh of december,(atis_flight),(atis_flight),1,1
Llama-1B,"What first class airplane goes from Philadelphia to San Francisco with a stop in Dallas in the afternoon on Monday, and also find the cheapest flights from Atlanta to Philadelphia that arrive after 12 PM on a Tuesday.","(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B,"List all flights that leave from Baltimore, Denver, or Pittsburgh and arrive in Philadelphia, and tell me what kind of airplane is flight UA 270 from Denver to Philadelphia.","(atis_aircraft, atis_flight)","(atis_aircraft, atis_flight)",1,2
Llama-1B,I want a flight on TWA from Boston to San Francisco and list types of aircraft that connect these cities while also telling me what airlines fly between San Francisco and Denver.,"(atis_flight, atis_aircraft, atis_airline)","(atis_flight, atis_aircraft, atis_airline)",1,3
Llama-1B, show me the flights on tuesday morning from charlotte to baltimore,(atis_flight),(atis_flight),1,1
Llama-1B, show me the earliest flight on august second from boston to denver that serves a meal,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me all flights from San Francisco to Pittsburgh on a Monday, what airlines fly from Boston to San Francisco, and which first class airplane goes from Philadelphia to San Francisco with a stop in Dallas in the afternoon on Monday.","(atis_flight, atis_airline, atis_aircraft)","(atis_flight, atis_airline, atis_aircraft)",1,3
Llama-1B,"I would like information on flights from San Francisco to Pittsburgh leaving after 8 PM Monday night, and I also want to know what type of aircraft flies from Pittsburgh to Baltimore.","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B,"I need a flight on Sunday from Long Beach to Columbus and a plane that arrives in San Francisco by 9 o'clock PM on Friday, leaving from Baltimore.","(atis_flight, atis_aircraft)","(atis_flight, atis_aircraft)",1,2
Llama-1B,"I would like to fly on American Airlines from Baltimore to San Francisco while knowing which airline serves Denver, Pittsburgh, and Atlanta.","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,I would like to fly from Boston to Philadelphia next Thursday and also see fares and flights from Pittsburgh to Philadelphia.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Please show me the flights from Washington to San Francisco and tell me what is the cheapest fare leaving on September thirtieth.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, on a breakfast flight from philadelphia to dallas via atlanta,(atis_flight),(atis_flight),1,1
Llama-1B, show me all flights to philadelphia in the evening,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me all flights and fares from Dallas, and also show me flights from New York to Miami with all fares for those leaving on a Tuesday.","(atis_airfare, atis_flight)","(atis_flight#atis_airfare, atis_flight, atis_airfare)",0,3
Llama-1B,"I want a flight originating in Denver going to Pittsburgh and Atlanta in either order, and I also want to know how many flights Eastern Airlines has from Boston to Atlanta.","(atis_flight, atis_quantity)","(atis_flight, atis_quantity)",1,2
Llama-1B,Show afternoon flights from Dallas to San Francisco and tell me what time the flights from Baltimore to San Francisco are.,"(atis_flight, atis_flight_time)","(atis_flight, atis_flight_time)",1,2
Llama-1B, id like to fly late tomorrow from minneapolis to long beach,(atis_flight),(atis_flight),1,1
Llama-1B,I would like the evening schedule of flights from San Francisco to Washington and to know what type of ground transportation is available between the airport and downtown San Francisco.,"(atis_flight_time, atis_ground_service)","(atis_flight_time, atis_ground_service)",1,2
Llama-1B,"What are the cities that American Airlines serves, and could you please give me information concerning an American Airlines flight from Washington DC to Philadelphia, the earliest one in the morning as possible?","(atis_city, atis_flight)","(atis_city, atis_flight)",1,2
Llama-1B,Please list the flights from Baltimore to San Francisco on Fridays and provide information regarding San Francisco airport while also showing me airlines between Boston and San Francisco.,"(atis_flight, atis_airport, atis_airline)","(atis_flight, atis_airport, atis_airline)",1,3
Llama-1B, list flights from atlanta to boston on wednesday afternoon,(atis_flight),(atis_flight),1,1
Llama-1B,Show me the ground transportation in Denver as I’d like to fly from Denver to Pittsburgh with a stop in Atlanta.,"(atis_ground_service, atis_flight)","(atis_ground_service, atis_flight)",1,2
Llama-1B, i want to know what flights you have available coach or economy class from baltimore to dallas,(atis_flight),(atis_flight),1,1
Llama-1B,"Does United Airlines provide any first class flights from Denver to Baltimore, and please give me fares from Denver to Philadelphia.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me round trip fares from Baltimore to Philadelphia while also providing the flights from Pittsburgh to Baltimore.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Show me the airlines that fly from Toronto to Boston and give me nonstop flights from New York City to Las Vegas.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Do you have an afternoon flight leaving from Boston to San Francisco with a stopover in Dallas, and what airline is the flight originating in Atlanta on November seventh at noon and arriving in San Francisco at 2:10 PM?","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"What kind of aircraft is used on the first class American Airlines flight from Philadelphia to San Francisco with a Dallas stopover, what nonstop flights are available from Oakland to Philadelphia arriving between 5 and 6 PM, and do you have any airlines that would stop at Denver on the way from Baltimore to San Francisco?","(atis_aircraft, atis_flight, atis_airline)","(atis_aircraft, atis_flight, atis_airline)",1,3
Llama-1B, how much does dl 746 cost,(atis_airfare),(atis_airfare),1,1
Llama-1B,"Do you have any airlines that would stop at Denver on the way from Baltimore to San Francisco, and could you tell me the cost of a ticket going from Denver to Boston on July twenty-fifth, 1991, as well as list all flights from Denver to Philadelphia?","(atis_airline, atis_airfare, atis_flight)","(atis_airline, atis_airfare, atis_flight)",1,3
Llama-1B,"Show me airlines going from Pittsburgh to Denver and then continuing to San Francisco on Monday, and also list round trip air fares from Pittsburgh to Philadelphia that are less than 1000 dollars.","(atis_airline, atis_airfare)","(atis_airline, atis_airfare)",1,2
Llama-1B,"What is the fare on the first flight from Atlanta to Denver on Thursday morning, and I would like an early morning flight from Chicago into Seattle on Continental Airlines.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Please show me all flights from Baltimore to Philadelphia that are less than 1000 dollars and all airlines with Sunday flights from Philadelphia to Denver.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"Please list the flight times from Pittsburgh to Newark, show me all flights from Baltimore to Philadelphia, and help me find the flight number for a US Air flight from Orlando to Cleveland that arrives around 10 PM.","(atis_flight_time, atis_flight, atis_flight_no)","(atis_flight_time, atis_flight, atis_flight_no)",1,3
Llama-1B,Please list all flights on United Airlines and Northwest which go to Denver while telling me what kind of ground transportation is available there and what time zone Denver is in.,"(atis_flight, atis_ground_service, atis_city)","(atis_flight, atis_ground_service, atis_city)",1,3
Llama-1B,"Show me all flights arriving at Dallas and the type of aircraft leaving Philadelphia to Dallas, then show me economy fares from Dallas to Baltimore.","(atis_aircraft, atis_flight, atis_airfare)","(atis_aircraft, atis_flight, atis_airfare)",1,3
Llama-1B, what flights are available from denver to philadelphia with stopover in pittsburgh,(atis_flight),(atis_flight),1,1
Llama-1B, show me all flights from boston to denver which arrive before noon on wednesday,(atis_flight),(atis_flight),1,1
Llama-1B,"Please show me airlines with flight service from Boston to Denver, from Denver to Philadelphia, and from Philadelphia to Boston, while also showing flights from Orlando to Cleveland on US Air that arrive around 10 PM.","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Please show me airlines with round trip flights from Boston to Denver with a stop in Philadelphia, and let me know the afternoon flights from Denver to San Francisco.","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"I'd like a ticket from Denver to Atlanta with a stopover in Pittsburgh if possible, and I'd like to know the last flight leaving from Pittsburgh to Oakland.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Give me the flights on Tuesday from Los Angeles to Pittsburgh while telling me which airlines have flights from Pittsburgh to San Francisco on Monday, September second, and what the schedule is for flights between Pittsburgh and Boston on the evening of July ninth.","(atis_flight, atis_airline, atis_flight_time)","(atis_flight, atis_airline, atis_flight_time)",1,3
Llama-1B,Please list the flight times from Pittsburgh to Newark and check if there are any flights between Pittsburgh and Baltimore using a J31 aircraft.,"(atis_flight_time, atis_flight)","(atis_flight_time, atis_flight)",1,2
Llama-1B,"List all the flights from Charlotte to Atlanta that return around 7 PM, and let's see how much a direct flight from Atlanta to Denver would be on May seventh.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, also give me a list of flights between oakland and boston,(atis_flight),(atis_flight),1,1
Llama-1B,"What is the fare from Boston to Oakland on United Airlines, as I want to go from Denver to Oakland?","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, show me all flights arriving to denver from baltimore oakland and boston,(atis_flight),(atis_flight),1,1
Llama-1B,I want to travel from Washington DC to Philadelphia on Tuesday morning and also know which airlines fly between Boston and Philadelphia.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B, i want to find a flight from boston to atlanta,(atis_flight),(atis_flight),1,1
Llama-1B,"Please show me airlines with flight service from Boston to Denver, from Denver to Philadelphia, and from Philadelphia to Boston, show me all flights from Dallas to Pittsburgh on Monday which leave after 8 o'clock PM, and show me all the prices of flights from Baltimore to Dallas.","(atis_airline, atis_flight, atis_airfare)","(atis_airline, atis_flight, atis_airfare)",1,3
Llama-1B,I would like to know the first class fare on a flight from Baltimore to Denver and show me the flights from Baltimore to Dallas.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Are there any flights available from Baltimore to Dallas on Monday afternoon, and what are the fares for flights between Atlanta and DFW?","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me fares from Philadelphia to San Francisco on Thursday morning and what flights are available Wednesday afternoon from Atlanta to San Francisco.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B, i want a flight on twa from boston to denver,(atis_flight),(atis_flight),1,1
Llama-1B,Show me all flights from Milwaukee to Orlando and check if any airline has a jet flight between Pittsburgh and Baltimore.,"(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,What are the least expensive flights from Denver to Atlanta and how many flights come from Denver to Baltimore on July nineteenth?,"(atis_flight, atis_quantity)","(atis_flight, atis_quantity)",1,2
Llama-1B,"How many flights does Eastern Airlines have from Boston to Atlanta, what is the least expensive flight from Pittsburgh to Atlanta leaving on October fifth, and which airlines serve Atlanta?","(atis_quantity, atis_flight, atis_airline)","(atis_quantity, atis_flight, atis_airline)",1,3
Llama-1B,Show me the fares and flights from Denver to Philadelphia and tell me what type of aircraft is used on the flight from Atlanta to Philadelphia before 12 o'clock noon.,"(atis_aircraft, atis_airfare)","(atis_aircraft, atis_airfare)",1,2
Llama-1B, is there a direct flight from denver to pittsburgh in the morning of august thirty first that is nonstop,(atis_flight),(atis_flight),1,1
Llama-1B,"Does any airline have an early afternoon flight from Boston to Pittsburgh, and list all daily flights between Boston and Oakland using American Airlines?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B, please list flights between san francisco and denver,(atis_flight),(atis_flight),1,1
Llama-1B, find me the cheapest one way fare i can get from boston to denver,(atis_airfare),(atis_airfare),1,1
Llama-1B,Please tell me which airlines have flights between Philadelphia and Pittsburgh and give me round trip fares from Baltimore to Philadelphia.,"(atis_airline, atis_airfare)","(atis_airline, atis_airfare)",1,2
Llama-1B,What times on Wednesday could I take a plane from Denver to Oakland while also needing a return flight from Chicago to Kansas City leaving Chicago around 7 in the evening on the day following next Wednesday?,"(atis_flight_time, atis_flight)","(atis_flight_time, atis_flight)",1,2
Llama-1B, show me flights between memphis and las vegas on sunday,(atis_flight),(atis_flight),1,1
Llama-1B, show me all flights from pittsburgh to philadelphia which arrive before 8 oclock am on wednesday,(atis_flight),(atis_flight),1,1
Llama-1B, give me flights on american airlines from milwaukee to phoenix,(atis_flight),(atis_flight),1,1
Llama-1B, what kind of ground transportation is there once i get to dallas,(atis_ground_service),(atis_ground_service),1,1
Llama-1B,"Show me the fare from Dallas to San Francisco and list flights from Denver to San Francisco, not Denver to Philadelphia.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"I'm trying to find the flight number for a US Air flight from Orlando to Cleveland arriving around 10 PM, while also showing me the flights arriving around noon in Baltimore from Denver.","(atis_flight_no, atis_flight)","(atis_flight_no, atis_flight)",1,2
Llama-1B,"Give me the flights with fares on December twenty-seventh from Indianapolis to Orlando, show me airlines with flights from Denver to Philadelphia, and show me the fares on all round-trip flights from Pittsburgh to Oakland.","(atis_flight, atis_airline, atis_airfare)","(atis_flight, atis_airline, atis_airfare)",1,3
Llama-1B, what is fare code q,(atis_abbreviation),(atis_abbreviation),1,1
Llama-1B,Show me the flights from Dallas to San Francisco while also showing me again the first class fares from Baltimore to Dallas.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Show me round trip fares from New York to Miami while also letting me see the daily flights from Baltimore to Philadelphia.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Show me the airfare from Pittsburgh to San Francisco while also providing information on nonstop flights available from Oakland to Pittsburgh.,"(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,"Please show me all fares and flights from Philadelphia, flights from Denver to Baltimore between 10 AM and 2 PM, and list departure times from Denver to Philadelphia which are later than 10 o'clock and earlier than 2 PM.","(atis_airfare, atis_flight, atis_flight_time)","(atis_airfare, atis_flight, atis_flight_time)",1,3
Llama-1B,"Which airlines fly from Boston to Washington DC via other cities, and do you have ground transportation between the airport and downtown in Boston?","(atis_airline, atis_ground_service)","(atis_airline, atis_ground_service)",1,2
Llama-1B, show me the most expensive one way first class fare from baltimore to dallas,(atis_airfare),(atis_airfare),1,1
Llama-1B, what flights from atlanta to toronto,(atis_flight),(atis_flight),1,1
Llama-1B, i would like information on a flight between washington and san francisco with a stopover in dallas,(atis_flight),(atis_flight),1,1
Llama-1B, flights from baltimore denver and pittsburgh to philadelphia where the round trip fare for each is less than 1000 dollars,(atis_flight),(atis_flight),1,1
Llama-1B,What airlines go from Atlanta to Baltimore and show me all flights to Baltimore after 12 PM.,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"What airlines fly from Toronto to San Diego, and are there round trip nonstop flights from Salt Lake City to Cincinnati if possible?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"I'd like to travel from Boston to Baltimore on US Air 269, so please tell me the times, and show me one more time the first class fares from Baltimore to Dallas.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,"Show me the fares from Dallas to San Francisco, and please show me the flights and airlines with flights from Philadelphia to Dallas with a stop in Atlanta.","(atis_airfare, atis_flight, atis_airline)","(atis_airfare, atis_flight, atis_airline)",1,3
Llama-1B,"Show me all the US Air flights to Pittsburgh between 12 and 4 in the afternoon and tell me which airline serves Denver, Pittsburgh, and Atlanta.","(atis_flight, atis_airline)","(atis_flight, atis_airline)",1,2
Llama-1B,"What is the airfare for flights from Denver to Pittsburgh on Delta Airline, and show me flights between Milwaukee and Phoenix on Saturday or Sunday with American Airlines.","(atis_airfare, atis_flight)","(atis_airfare, atis_flight)",1,2
Llama-1B,Show me all flights from Dallas to San Francisco and tell me what the cheapest fare is for flights from Boston to Dallas.,"(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, give me the continental flights from chicago to seattle on friday,(atis_flight),(atis_flight),1,1
Llama-1B,"What airlines fly between Boston and Atlanta, and what is the earliest flight leaving Boston and arriving in Atlanta on November seventh?","(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"What airlines fly from Philadelphia to San Francisco, and please list fares for all the flights from Atlanta to Philadelphia on August the first.","(atis_airline, atis_airfare)","(atis_airline, atis_airfare)",1,2
Llama-1B,"Show me all flights that depart from San Francisco and go to either Boston, Philadelphia, or Baltimore, and can you list the cheapest round trip fare from Orlando to Kansas City.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B, how many flights does continental airlines have with a class of service code f,(atis_quantity),(atis_quantity),1,1
Llama-1B, i would like an evening flight from pittsburgh to los angeles on june third,(atis_flight),(atis_flight),1,1
Llama-1B,"Show fares and flights from Denver to Oakland while also listing what flights depart from Pittsburgh and arrive in Oakland, California.","(atis_flight, atis_airfare)","(atis_flight, atis_airfare)",1,2
Llama-1B,Which airlines fly from Toronto to San Diego with a stopover in Denver while also looking for flights from Oakland to Atlanta leaving before 10:45 AM?,"(atis_airline, atis_flight)","(atis_airline, atis_flight)",1,2
Llama-1B,"Show me all flights which leave Pittsburgh tomorrow and arrive in Baltimore after 5 o'clock PM, provide round trip fares from Pittsburgh to Philadelphia under 1000 dollars, and check if there is ground transportation from the Pittsburgh airport to downtown Pittsburgh.","(atis_flight, atis_airfare, atis_ground_service)","(atis_flight, atis_airfare, atis_ground_service)",1,3
Llama-1B, find a flight from san francisco to boston on wednesday,(atis_flight),(atis_flight),1,1
Llama-1B,"Show me the cheapest round trip flights from New York to San Jose arriving before 7 PM, and also show all flights and fares from Denver to San Francisco.","(atis_flight, atis_airfare)","(atis_flight, atis_flight#atis_airfare)",0,2
